
Kokkos::Cuda::initialize WARNING: Cuda is allocating into UVMSpace by default
                                  without setting CUDA_LAUNCH_BLOCKING=1.
                                  The code must call Cuda().fence() after each kernel
                                  or will likely crash when accessing data on the host.
0.00628263 0.00952232 0.00224617 size   409000 91044.1 MUPD/s or  728.353 GB/s
0.00630026 0.00958164 0.00232869 size   413000 88676.6 MUPD/s or  709.413 GB/s
0.00633282 0.00953438 0.00228947 size   417000 91069.3 MUPD/s or  728.554 GB/s
0.00646404 0.00981154 0.00234792 size   421000 89653.9 MUPD/s or  717.231 GB/s
0.00649762 0.0100582 0.00242443 size   425000 87649.6 MUPD/s or  701.197 GB/s
0.00652511 0.00986675 0.00240757 size   429000 89094.1 MUPD/s or  712.752 GB/s
0.00663298 0.0102312 0.00240453 size   433000 90038.3 MUPD/s or  720.306 GB/s
0.00668097 0.0103441 0.00248644 size   437000 87876.6 MUPD/s or  703.013 GB/s
0.00671554 0.0102998 0.00247614 size   441000 89049.7 MUPD/s or  712.398 GB/s
0.00684541 0.0102388 0.00244621 size   445000 90957.1 MUPD/s or  727.657 GB/s
0.00685084 0.0105469 0.00247271 size   449000 90790.9 MUPD/s or  726.327 GB/s
0.00699161 0.010742 0.00251406 size   453000 90093.3 MUPD/s or  720.747 GB/s
0.00703897 0.0109844 0.00249007 size   457000 91764.4 MUPD/s or  734.115 GB/s
0.00701906 0.010635 0.00251531 size   461000 91638.7 MUPD/s or   733.11 GB/s
0.00713008 0.0111681 0.00253054 size   465000 91877.7 MUPD/s or  735.022 GB/s
0.0072851 0.0109162 0.00256108 size   469000 91562.8 MUPD/s or  732.502 GB/s
0.0073622 0.0112568 0.00259998 size   473000 90962.2 MUPD/s or  727.697 GB/s
0.0073641 0.0116462 0.0026898 size   477000 88668.4 MUPD/s or  709.347 GB/s
0.00748049 0.0117011 0.00267537 size   481000 89894.2 MUPD/s or  719.154 GB/s
0.00745317 0.0114544 0.00265405 size   485000 91369.8 MUPD/s or  730.958 GB/s
0.00752425 0.0119496 0.00279213 size   489000 87567.6 MUPD/s or  700.541 GB/s
0.00764443 0.0119283 0.00278251 size   493000 88589.2 MUPD/s or  708.714 GB/s
0.00768092 0.012221 0.00271615 size   497000 91489.7 MUPD/s or  731.917 GB/s
0.0077179 0.0117902 0.00275002 size   501000 91090.4 MUPD/s or  728.723 GB/s
0.00776029 0.0119482 0.00278658 size   505000 90612.9 MUPD/s or  724.903 GB/s
0.00782618 0.0125771 0.00277486 size   509000 91716.5 MUPD/s or  733.732 GB/s
0.00785658 0.0120207 0.00283618 size   513000 90438.5 MUPD/s or  723.508 GB/s
0.00789583 0.0121015 0.00302837 size   517000 85359.5 MUPD/s or  682.876 GB/s
0.00793375 0.0122867 0.00324182 size   521000 80356 MUPD/s or  642.848 GB/s
0.00800993 0.0125237 0.00336661 size   525000 77971.5 MUPD/s or  623.772 GB/s
0.0080294 0.0124823 0.00334712 size   529000 79023.2 MUPD/s or  632.185 GB/s
0.00816709 0.0126428 0.00333088 size   533000 80008.8 MUPD/s or   640.07 GB/s
0.00826796 0.0127058 0.00303184 size   537000 88560 MUPD/s or   708.48 GB/s
0.00824679 0.0130124 0.00297295 size   541000 90987 MUPD/s or  727.896 GB/s
0.00827006 0.0128668 0.00298366 size   545000 91330.6 MUPD/s or  730.645 GB/s
0.00840753 0.0129713 0.00301533 size   549000 91034.8 MUPD/s or  728.278 GB/s
0.00842204 0.0130475 0.00304014 size   553000 90949.8 MUPD/s or  727.598 GB/s
0.00845064 0.0130876 0.00305585 size   557000 91136.8 MUPD/s or  729.094 GB/s
0.00853093 0.0132186 0.00310291 size   561000 90399.1 MUPD/s or  723.193 GB/s
0.00860823 0.0132978 0.00313375 size   565000 90147.6 MUPD/s or   721.18 GB/s
0.008671 0.0135467 0.00321601 size   569000 88463.5 MUPD/s or  707.708 GB/s
0.00875507 0.0135748 0.0031626 size   573000 90590.1 MUPD/s or  724.721 GB/s
0.00873901 0.0135974 0.00322886 size   577000 89350.5 MUPD/s or  714.804 GB/s
0.00884757 0.0138206 0.00322745 size   581000 90009.1 MUPD/s or  720.073 GB/s
0.00892029 0.0140987 0.00324083 size   585000 90254.7 MUPD/s or  722.037 GB/s
0.00893689 0.013932 0.0032226 size   589000 91385.9 MUPD/s or  731.087 GB/s
0.00901932 0.0144053 0.00320682 size   593000 92459.1 MUPD/s or  739.673 GB/s
0.00919188 0.0147004 0.00322388 size   597000 92590.2 MUPD/s or  740.722 GB/s
0.00922497 0.0149376 0.00324431 size   601000 92623.8 MUPD/s or  740.991 GB/s
0.00927003 0.0150476 0.00326085 size   605000 92767.1 MUPD/s or  742.137 GB/s
0.00941188 0.0151259 0.00330743 size   609000 92065.6 MUPD/s or  736.524 GB/s
0.0094434 0.0151653 0.00334424 size   613000 91650.2 MUPD/s or  733.202 GB/s
0.00952478 0.015318 0.003328 size   617000 92698.3 MUPD/s or  741.586 GB/s
0.00964864 0.0157144 0.00338376 size   621000 91761.8 MUPD/s or  734.095 GB/s
0.00975098 0.0158214 0.0034299 size   625000 91110.6 MUPD/s or  728.885 GB/s
0.00979663 0.0157826 0.00349538 size   629000 89975.8 MUPD/s or  719.806 GB/s
0.00980142 0.0159367 0.00344179 size   633000 91958 MUPD/s or  735.664 GB/s
0.00991401 0.0159096 0.00359747 size   637000 88534.5 MUPD/s or  708.276 GB/s
0.00996104 0.0161629 0.00358569 size   641000 89383.1 MUPD/s or  715.065 GB/s
0.00998387 0.0162467 0.00356973 size   645000 90342.9 MUPD/s or  722.744 GB/s
0.0100974 0.0163857 0.00364981 size   649000 88908.8 MUPD/s or  711.271 GB/s
0.0102289 0.0165119 0.00373734 size   653000 87361.5 MUPD/s or  698.892 GB/s
0.0103054 0.0166354 0.00372731 size   657000 88133.3 MUPD/s or  705.066 GB/s
0.0103357 0.016864 0.00369547 size   661000 89433.9 MUPD/s or  715.472 GB/s
0.0103516 0.0169715 0.00366849 size   665000 90636.8 MUPD/s or  725.095 GB/s
0.0105012 0.0170612 0.00363226 size   669000 92091.4 MUPD/s or  736.731 GB/s
0.0104325 0.0168234 0.00363457 size   673000 92583.1 MUPD/s or  740.665 GB/s
0.010475 0.0171309 0.0036769 size   677000 92061.2 MUPD/s or   736.49 GB/s
0.0105813 0.0171788 0.00373845 size   681000 91080.6 MUPD/s or  728.644 GB/s
0.0106418 0.0172289 0.00373607 size   685000 91673.9 MUPD/s or  733.391 GB/s
0.0106663 0.0173564 0.0037481 size   689000 91913.1 MUPD/s or  735.305 GB/s
0.0107414 0.0174733 0.00375569 size   693000 92259.9 MUPD/s or  738.079 GB/s
0.0108701 0.0176257 0.00381715 size   697000 91298.4 MUPD/s or  730.387 GB/s
0.0108866 0.0177063 0.00381461 size   701000 91883.5 MUPD/s or  735.068 GB/s
0.010915 0.0175602 0.0038038 size   705000 92670.4 MUPD/s or  741.363 GB/s
0.0108713 0.0177205 0.00386056 size   709000 91826 MUPD/s or  734.608 GB/s
0.0109408 0.0176898 0.00387779 size   713000 91933.8 MUPD/s or  735.471 GB/s
0.011021 0.0178003 0.00388388 size   717000 92304.7 MUPD/s or  738.437 GB/s
0.0110304 0.0179494 0.00388845 size   721000 92710.4 MUPD/s or  741.683 GB/s
0.0111001 0.0180823 0.00390128 size   725000 92918.2 MUPD/s or  743.345 GB/s
0.0112099 0.0184633 0.00400643 size   729000 90978.9 MUPD/s or  727.831 GB/s
0.0112269 0.0182492 0.00393051 size   733000 93244.9 MUPD/s or  745.959 GB/s
0.0113214 0.0179381 0.00400732 size   737000 91956.8 MUPD/s or  735.655 GB/s
0.011284 0.0179164 0.00410106 size   741000 90342.5 MUPD/s or   722.74 GB/s
0.0112431 0.0180115 0.0040655 size   745000 91624.7 MUPD/s or  732.998 GB/s
0.0114448 0.0183095 0.00418604 size   749000 89464.1 MUPD/s or  715.713 GB/s
0.0114749 0.0185959 0.00424458 size   753000 88701.5 MUPD/s or  709.612 GB/s
0.011614 0.0186237 0.00427411 size   757000 88556.5 MUPD/s or  708.452 GB/s
0.0116319 0.018836 0.00418426 size   761000 90935.9 MUPD/s or  727.488 GB/s
0.0116879 0.0189311 0.0043721 size   765000 87486.5 MUPD/s or  699.892 GB/s
0.0117761 0.0187773 0.00422456 size   769000 91015.3 MUPD/s or  728.123 GB/s
0.011798 0.0189051 0.00431465 size   773000 89578.5 MUPD/s or  716.628 GB/s
0.0117403 0.018791 0.00450879 size   777000 86165 MUPD/s or   689.32 GB/s
0.0118499 0.0189072 0.00473044 size   781000 82550.5 MUPD/s or  660.404 GB/s
0.0118867 0.0188947 0.00512813 size   785000 76538.6 MUPD/s or  612.309 GB/s
0.0119237 0.0190258 0.00515331 size   789000 76552.7 MUPD/s or  612.422 GB/s
0.0119556 0.0190579 0.00520337 size   793000 76200.6 MUPD/s or  609.605 GB/s
0.0120621 0.0192317 0.00482638 size   797000 82567.1 MUPD/s or  660.536 GB/s
0.0120963 0.0192642 0.00454593 size   801000 88100.9 MUPD/s or  704.807 GB/s
0.0121619 0.0196139 0.00440145 size   805000 91447.2 MUPD/s or  731.578 GB/s
0.0123609 0.0198876 0.00449772 size   809000 89934.4 MUPD/s or  719.475 GB/s
0.0124499 0.0202628 0.00461841 size   813000 88017.3 MUPD/s or  704.138 GB/s
0.0125618 0.0202982 0.00446912 size   817000 91405.1 MUPD/s or   731.24 GB/s
0.0124944 0.020372 0.00460631 size   821000 89116.8 MUPD/s or  712.935 GB/s
0.0126154 0.0206054 0.00451005 size   825000 91462.3 MUPD/s or  731.699 GB/s
0.0127298 0.0206459 0.00461753 size   829000 89766.6 MUPD/s or  718.133 GB/s
0.0127306 0.0205221 0.00461477 size   833000 90253.7 MUPD/s or   722.03 GB/s
0.0127945 0.0204731 0.00452125 size   837000 92562.9 MUPD/s or  740.504 GB/s
0.0128031 0.020512 0.0045607 size   841000 92200.8 MUPD/s or  737.607 GB/s
0.0129773 0.0207712 0.00456952 size   845000 92460.5 MUPD/s or  739.684 GB/s
0.0129536 0.0209979 0.00461776 size   849000 91927.8 MUPD/s or  735.422 GB/s
0.0130491 0.0208935 0.00464298 size   853000 91859 MUPD/s or  734.872 GB/s
0.0131114 0.0211408 0.00470301 size   857000 91111.9 MUPD/s or  728.895 GB/s
0.0131884 0.0211012 0.00472209 size   861000 91167.2 MUPD/s or  729.338 GB/s
0.0131991 0.0213809 0.0048391 size   865000 89376.1 MUPD/s or  715.009 GB/s
0.0132697 0.021414 0.00480072 size   869000 90507.2 MUPD/s or  724.058 GB/s
0.0133757 0.0215446 0.00494129 size   873000 88337.3 MUPD/s or  706.699 GB/s
0.0133932 0.0215999 0.00485569 size   877000 90306.5 MUPD/s or  722.452 GB/s
0.0134829 0.0217191 0.00476124 size   881000 92518 MUPD/s or  740.144 GB/s
